macd krot3 21,55

2015-11-25, 10.25, 9.84, 0.41, 
2015-11-26, 10.19, 9.83, 0.36, 
2015-11-27, 10.11, 9.82, 0.29, 
2015-11-30, 10.04, 9.80, 0.24, 
2015-12-01, 10.02, 9.80, 0.22, 
2015-12-02, 10.00, 9.80, 0.20, 
2015-12-03, 10.05, 9.82, 0.23, 
2015-12-04, 10.07, 9.83, 0.24, 
2015-12-07, 10.10, 9.85, 0.25, 
2015-12-08, 10.13, 9.87, 0.26, 
2015-12-09, 10.18, 9.90, 0.28, 
2015-12-10, 10.20, 9.91, 0.29, 
2015-12-11, 10.21, 9.92, 0.29, 
2015-12-14, 10.21, 9.93, 0.28, 
2015-12-15, 10.21, 9.94, 0.27, 
2015-12-16, 10.21, 9.95, 0.26, 
2015-12-17, 10.24, 9.97, 0.27, 
2015-12-18, 10.20, 9.97, 0.23, 
2015-12-21, 10.19, 9.97, 0.22, 
2015-12-22, 10.17, 9.97, 0.20, 
2015-12-23, 10.14, 9.97, 0.17, 
2015-12-28, 10.12, 9.97, 0.15, 
2015-12-29, 10.11, 9.97, 0.14, 
2015-12-30, 10.06, 9.96, 0.10, 
2016-01-04, 10.01, 9.95, 0.06, 
2016-01-05, 9.94, 9.93, 0.01, 
2016-01-06, 9.89, 9.92, -0.03, 
2016-01-07, 9.84, 9.90, -0.06, 
2016-01-08, 9.75, 9.86, -0.11, 
2016-01-11, 9.66, 9.82, -0.16, 
2016-01-12, 9.55, 9.78, -0.23, 
2016-01-13, 9.43, 9.73, -0.30, 
2016-01-14, 9.36, 9.69, -0.33, 
2016-01-15, 9.29, 9.65, -0.36, 
2016-01-18, 9.20, 9.61, -0.41, 
2016-01-19, 9.13, 9.57, -0.44, 
2016-01-20, 9.05, 9.53, -0.48, 
2016-01-21, 8.96, 9.48, -0.52, 
2016-01-22, 8.85, 9.42, -0.57, 
2016-01-26, 8.78, 9.37, -0.59, 
2016-01-27, 8.70, 9.32, -0.62, 
2016-01-28, 8.63, 9.27, -0.64, 
2016-01-29, 8.62, 9.25, -0.63, 
2016-02-01, 8.64, 9.24, -0.60, 
2016-02-02, 8.64, 9.22, -0.58, 
2016-02-03, 8.64, 9.21, -0.57, 
2016-02-04, 8.70, 9.21, -0.51, 
2016-02-05, 8.76, 9.21, -0.45, 
2016-02-10, 8.81, 9.21, -0.40, 
2016-02-11, 8.83, 9.21, -0.38, 
2016-02-12, 8.89, 9.22, -0.33, 
2016-02-15, 8.95, 9.23, -0.28, 
2016-02-16, 9.00, 9.24, -0.24, 
2016-02-17, 9.08, 9.26, -0.18, 
2016-02-18, 9.14, 9.27, -0.13, 
2016-02-19, 9.17, 9.27, -0.10, 
2016-02-22, 9.20, 9.27, -0.07, 
2016-02-23, 9.22, 9.27, -0.05, 
2016-02-24, 9.22, 9.27, -0.05, 
2016-02-25, 9.21, 9.27, -0.06, 
2016-02-26, 9.23, 9.27, -0.04, 
2016-02-29, 9.29, 9.29, 0.00, 
2016-03-01, 9.36, 9.32, 0.04, 
2016-03-02, 9.41, 9.34, 0.07, 
2016-03-03, 9.53, 9.38, 0.15, 
2016-03-04, 9.66, 9.43, 0.23, 
2016-03-07, 9.81, 9.49, 0.32, 
2016-03-08, 9.93, 9.55, 0.38, 
2016-03-09, 10.05, 9.61, 0.44, 
2016-03-10, 10.18, 9.67, 0.51, 
2016-03-11, 10.31, 9.74, 0.57, 
2016-03-14, 10.38, 9.79, 0.59, 
2016-03-15, 10.41, 9.82, 0.59, 
2016-03-16, 10.41, 9.84, 0.57, 
2016-03-17, 10.45, 9.87, 0.58, 
2016-03-18, 10.49, 9.90, 0.59, 
2016-03-21, 10.52, 9.93, 0.59, 
2016-03-22, 10.60, 9.98, 0.62, 
2016-03-23, 10.67, 10.03, 0.64, 
2016-03-24, 10.76, 10.09, 0.67, 
2016-03-28, 10.79, 10.12, 0.67, 
2016-03-29, 10.84, 10.16, 0.68, 
2016-03-30, 10.90, 10.21, 0.69, 
2016-03-31, 10.95, 10.25, 0.70, 
2016-04-01, 11.03, 10.30, 0.73, 
2016-04-04, 11.07, 10.34, 0.73, 
2016-04-05, 11.12, 10.38, 0.74, 
2016-04-06, 11.16, 10.42, 0.74, 
2016-04-07, 11.19, 10.46, 0.73, 
2016-04-08, 11.25, 10.51, 0.74, 
2016-04-11, 11.26, 10.54, 0.72, 
2016-04-12, 11.31, 10.58, 0.73, 
2016-04-13, 11.38, 10.63, 0.75, 
2016-04-14, 11.42, 10.67, 0.75, 
2016-04-15, 11.48, 10.72, 0.76, 
2016-04-18, 11.54, 10.77, 0.77, 
2016-04-19, 11.62, 10.82, 0.80, 
